n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
315,0.00315,2,31,0.0078125,0.12109375
316,0.00316,0,19,0,0.07421875
317,0.00317,5,12,0.01953125,0.046875
318,0.00318,21,13,0.08203125,0.05078125
319,0.00319,43,22,0.16796875,0.0859375
320,0.0032,62,34,0.2421875,0.1328125
321,0.00321,75,47,0.29296875,0.18359375
322,0.00322,77,59,0.30078125,0.23046875
323,0.00323,68,64,0.265625,0.25
324,0.00324,50,61,0.1953125,0.23828125
325,0.00325,28,52,0.109375,0.203125
326,0.00326,9,39,0.03515625,0.15234375
327,0.00327,0,26,0,0.1015625
328,0.00328,1,16,0.00390625,0.0625
329,0.00329,13,13,0.05078125,0.05078125
330,0.0033,33,17,0.12890625,0.06640625
331,0.00331,55,28,0.21484375,0.109375
332,0.00332,71,42,0.27734375,0.1640625
333,0.00333,77,54,0.30078125,0.2109375
334,0.00334,72,62,0.28125,0.2421875
335,0.00335,56,63,0.21875,0.24609375
336,0.00336,33,54,0.12890625,0.2109375
337,0.00337,13,43,0.05078125,0.16796875
338,0.00338,0,29,0,0.11328125
339,0.00339,0,16,0,0.0625
340,0.0034,11,13,0.04296875,0.05078125
341,0.00341,31,17,0.12109375,0.06640625
342,0.00342,53,27,0.20703125,0.10546875
343,0.00343,71,41,0.27734375,0.16015625
344,0.00344,78,54,0.3046875,0.2109375
345,0.00345,72,62,0.28125,0.2421875
346,0.00346,55,62,0.21484375,0.2421875
347,0.00347,33,55,0.12890625,0.21484375
348,0.00348,12,42,0.046875,0.1640625
349,0.00349,0,27,0,0.10546875
350,0.0035,0,16,0,0.0625
351,0.00351,13,14,0.05078125,0.0546875
352,0.00352,35,19,0.13671875,0.07421875
353,0.00353,58,30,0.2265625,0.1171875
354,0.00354,74,44,0.2890625,0.171875
355,0.00355,77,56,0.30078125,0.21875
356,0.00356,67,62,0.26171875,0.2421875
357,0.00357,47,60,0.18359375,0.234375
358,0.00358,24,50,0.09375,0.1953125
359,0.00359,6,36,0.0234375,0.140625
360,0.0036,0,23,0,0.08984375
361,0.00361,5,16,0.01953125,0.0625
362,0.00362,23,15,0.08984375,0.05859375
363,0.00363,47,24,0.18359375,0.09375
364,0.00364,67,37,0.26171875,0.14453125
365,0.00365,77,51,0.30078125,0.19921875
366,0.00366,73,60,0.28515625,0.234375
367,0.00367,56,62,0.21875,0.2421875
368,0.00368,32,54,0.125,0.2109375
369,0.00369,11,41,0.04296875,0.16015625
370,0.0037,0,27,0,0.10546875
371,0.00371,2,18,0.0078125,0.0703125
372,0.00372,18,15,0.0703125,0.05859375
373,0.00373,42,22,0.1640625,0.0859375
374,0.00374,63,34,0.24609375,0.1328125
375,0.00375,76,47,0.296875,0.18359375
376,0.00376,74,58,0.2890625,0.2265625
377,0.00377,58,61,0.2265625,0.23828125
378,0.00378,35,55,0.13671875,0.21484375
379,0.00379,12,43,0.046875,0.16796875
380,0.0038,0,28,0,0.109375
381,0.00381,2,18,0.0078125,0.0703125
382,0.00382,18,15,0.0703125,0.05859375
383,0.00383,42,22,0.1640625,0.0859375
384,0.00384,64,34,0.25,0.1328125
385,0.00385,77,48,0.30078125,0.1875
386,0.00386,74,59,0.2890625,0.23046875
387,0.00387,56,61,0.21875,0.23828125
388,0.00388,32,54,0.125,0.2109375
389,0.00389,9,40,0.03515625,0.15625
390,0.0039,0,26,0,0.1015625
391,0.00391,3,16,0.01171875,0.0625
392,0.00392,23,16,0.08984375,0.0625
393,0.00393,48,24,0.1875,0.09375
394,0.00394,70,38,0.2734375,0.1484375
395,0.00395,78,52,0.3046875,0.203125
396,0.00396,70,60,0.2734375,0.234375
397,0.00397,48,60,0.1875,0.234375
398,0.00398,23,50,0.08984375,0.1953125
399,0.00399,4,35,0.015625,0.13671875
400,0.004,0,22,0,0.0859375
401,0.00401,11,16,0.04296875,0.0625
402,0.00402,34,19,0.1328125,0.07421875
403,0.00403,59,30,0.23046875,0.1171875
404,0.00404,76,45,0.296875,0.17578125
405,0.00405,75,57,0.29296875,0.22265625
406,0.00406,59,61,0.23046875,0.23828125
407,0.00407,34,55,0.1328125,0.21484375
408,0.00408,10,42,0.0390625,0.1640625
409,0.00409,0,28,0,0.109375
410,0.0041,4,17,0.015625,0.06640625
411,0.00411,26,17,0.1015625,0.06640625
412,0.00412,52,26,0.203125,0.1015625
