k,freq_hz,mag_db
570,27832.0312,-11.6908646
571,27880.8594,-11.5645771
572,27929.6875,-11.8040848
573,27978.5156,-11.3268585
574,28027.3438,-12.1146488
575,28076.1719,-11.767849
576,28125,-11.3569527
577,28173.8281,-11.6533136
578,28222.6562,-11.6649284
579,28271.4844,-11.9284172
580,28320.3125,-11.6593761
581,28369.1406,-11.5317326
582,28417.9688,-11.5149307
583,28466.7969,-11.9239664
584,28515.625,-12.055603
585,28564.4531,-11.7266388
586,28613.2812,-12.1780891
587,28662.1094,-12.0713844
588,28710.9375,-11.6240129
589,28759.7656,-11.6819057
590,28808.5938,-11.9081783
591,28857.4219,-11.8155689
592,28906.25,-12.0264034
593,28955.0781,-12.250679
594,29003.9062,-11.897584
595,29052.7344,-11.7455559
596,29101.5625,-11.8106728
597,29150.3906,-11.7634659
598,29199.2188,-12.142952
599,29248.0469,-11.8399382
600,29296.875,-12.2052774
601,29345.7031,-11.684267
602,29394.5312,-11.7487574
603,29443.3594,-11.7122793
604,29492.1875,-12.1858997
605,29541.0156,-12.0456591
606,29589.8438,-11.7240858
607,29638.6719,-12.0173512
608,29687.5,-12.2054977
609,29736.3281,-11.8311577
610,29785.1562,-12.1872606
611,29833.9844,-12.0596695
612,29882.8125,-12.3511648
613,29931.6406,-12.2571697
614,29980.4688,-12.1994543
615,30029.2969,-12.7324562
616,30078.125,-12.1575594
617,30126.9531,-12.5262432
618,30175.7812,-12.0437231
619,30224.6094,-12.5265398
620,30273.4375,-12.1019592
621,30322.2656,-12.2267876
622,30371.0938,-12.2637291
623,30419.9219,-12.2466984
624,30468.75,-12.2383347
625,30517.5781,-12.3296223
626,30566.4062,-11.8935623
627,30615.2344,-12.4946365
628,30664.0625,-12.1466055
629,30712.8906,-12.3200979
630,30761.7188,-12.5103998
631,30810.5469,-12.4223509
632,30859.375,-12.4699774
633,30908.2031,-12.1505404
634,30957.0312,-12.2909641
635,31005.8594,-12.4393892
636,31054.6875,-12.2196503
637,31103.5156,-12.579237
638,31152.3438,-12.4002256
639,31201.1719,-12.6361847
640,31250,-12.365303
641,31298.8281,-12.4927988
642,31347.6562,-12.5600958
643,31396.4844,-12.5314951
644,31445.3125,-12.4030123
645,31494.1406,-13.1055841
646,31542.9688,-12.4860344
647,31591.7969,-12.3882771
648,31640.625,-12.6033792
649,31689.4531,-12.5421896
650,31738.2812,-12.9336271
651,31787.1094,-12.5623932
652,31835.9375,-12.6132717
653,31884.7656,-12.9818745
654,31933.5938,-12.7056904
655,31982.4219,-12.3465805
656,32031.25,-12.5785837
657,32080.0781,-12.395813
658,32128.9062,-12.8823719
659,32177.7344,-13.0503674
660,32226.5625,-12.7803097
661,32275.3906,-12.9613953
662,32324.2188,-12.3601055
663,32373.0469,-13.1227913
664,32421.875,-12.8620815
665,32470.7031,-12.9969683
666,32519.5312,-12.5259132
667,32568.3594,-12.6979532
668,32617.1875,-12.8670826
669,32666.0156,-12.5504131
670,32714.8438,-13.0436182
671,32763.6719,-12.6998186
672,32812.5,-13.1353235
673,32861.3281,-13.2863674
674,32910.1562,-13.1542826
675,32958.9844,-13.0906
676,33007.8125,-12.898674
677,33056.6406,-13.043951
678,33105.4688,-13.0320272
679,33154.2969,-13.0598278
680,33203.125,-13.2779465
681,33251.9531,-13.0368137
682,33300.7812,-12.7064075
683,33349.6094,-12.9066429
684,33398.4375,-13.0654278
685,33447.2656,-13.1430998
686,33496.0938,-12.8523445
687,33544.9219,-13.4276495
688,33593.75,-13.2099056
689,33642.5781,-13.2246075
690,33691.4062,-13.0554333
691,33740.2344,-13.0612984
692,33789.0625,-12.9415474
693,33837.8906,-13.2121735
694,33886.7188,-13.0460978
695,33935.5469,-13.1366978
696,33984.375,-13.4626303
697,34033.2031,-12.9941883
