freq_hz,mag_db
1.034386425781250000e+04,-4.033270359039306641e+00
1.035200000000000000e+04,-3.974634647369384766e+00
1.036014257812500000e+04,-3.927799463272094727e+00
1.036829101562500000e+04,-3.888079881668090820e+00
1.037644628906250000e+04,-3.807533025741577148e+00
1.038460839843750000e+04,-3.962344646453857422e+00
1.039277636718750000e+04,-3.936393499374389648e+00
1.040095019531250000e+04,-3.879641056060791016e+00
1.040913183593750000e+04,-3.880676269531250000e+00
1.041731835937500000e+04,-3.950262308120727539e+00
1.042551269531250000e+04,-4.069773197174072266e+00
1.043371289062500000e+04,-3.963208675384521484e+00
1.044191894531250000e+04,-3.945137262344360352e+00
1.045013281250000000e+04,-4.000769138336181641e+00
1.045835253906250000e+04,-4.075397968292236328e+00
1.046657812500000000e+04,-4.135756015777587891e+00
1.047481054687500000e+04,-4.053112983703613281e+00
1.048304980468750000e+04,-4.031079292297363281e+00
1.049129492187500000e+04,-4.036410808563232422e+00
1.049954687500000000e+04,-4.053930282592773438e+00
1.050780566406250000e+04,-4.045800209045410156e+00
1.051607031250000000e+04,-4.113214492797851562e+00
1.052434179687500000e+04,-4.090991973876953125e+00
1.053262011718750000e+04,-4.116431236267089844e+00
1.054090429687500000e+04,-4.093449592590332031e+00
1.054919531250000000e+04,-4.135400772094726562e+00
1.055749218750000000e+04,-4.147576332092285156e+00
1.056579687500000000e+04,-4.165544509887695312e+00
1.057410742187500000e+04,-4.146981239318847656e+00
1.058242382812500000e+04,-4.155399322509765625e+00
1.059074804687500000e+04,-4.143224239349365234e+00
1.059907812500000000e+04,-4.169237613677978516e+00
1.060741503906250000e+04,-4.208539009094238281e+00
1.061575781250000000e+04,-4.194593906402587891e+00
1.062410742187500000e+04,-4.210371971130371094e+00
1.063246386718750000e+04,-4.210725784301757812e+00
1.064082714843750000e+04,-4.199740886688232422e+00
1.064919726562500000e+04,-4.218663692474365234e+00
1.065757324218750000e+04,-4.235039710998535156e+00
1.066595605468750000e+04,-4.253119468688964844e+00
1.067434472656250000e+04,-4.251493453979492188e+00
1.068274121093750000e+04,-4.245154380798339844e+00
1.069114355468750000e+04,-4.250660896301269531e+00
1.069955273437500000e+04,-4.253426074981689453e+00
1.070796875000000000e+04,-4.280280113220214844e+00
1.071639062500000000e+04,-4.272439479827880859e+00
1.072481933593750000e+04,-4.253582000732421875e+00
1.073325488281250000e+04,-4.260110378265380859e+00
1.074169726562500000e+04,-4.282199382781982422e+00
1.075014648437500000e+04,-4.283091545104980469e+00
1.075860156250000000e+04,-4.307970046997070312e+00
1.076706445312500000e+04,-4.302472114562988281e+00
1.077553320312500000e+04,-4.277416706085205078e+00
1.078400878906250000e+04,-4.306143283843994141e+00
1.079249121093750000e+04,-4.310178279876708984e+00
1.080097949218750000e+04,-4.305920600891113281e+00
1.080947558593750000e+04,-4.323225498199462891e+00
1.081797753906250000e+04,-4.305861949920654297e+00
1.082648632812500000e+04,-4.316886901855468750e+00
1.083500195312500000e+04,-4.314751625061035156e+00
1.084352441406250000e+04,-4.331366062164306641e+00
1.085205273437500000e+04,-4.334458351135253906e+00
1.086058886718750000e+04,-4.327543735504150391e+00
1.086913085937500000e+04,-4.319286823272705078e+00
1.087768066406250000e+04,-4.359586715698242188e+00
1.088623632812500000e+04,-4.346499919891357422e+00
1.089479882812500000e+04,-4.367938995361328125e+00
1.090336816406250000e+04,-4.362027645111083984e+00
1.091194433593750000e+04,-4.354263305664062500e+00
1.092052734375000000e+04,-4.382165431976318359e+00
1.092911621093750000e+04,-4.369220733642578125e+00
1.093771289062500000e+04,-4.362362861633300781e+00
1.094631542968750000e+04,-4.354156970977783203e+00
1.095492578125000000e+04,-4.369787693023681641e+00
1.096354199218750000e+04,-4.395226955413818359e+00
1.097216601562500000e+04,-4.398978710174560547e+00
1.098079589843750000e+04,-4.401453495025634766e+00
1.098943261718750000e+04,-4.393767833709716797e+00
1.099807617187500000e+04,-4.401301383972167969e+00
1.100672753906250000e+04,-4.403717994689941406e+00
1.101538476562500000e+04,-4.408888339996337891e+00
1.102404882812500000e+04,-4.407127857208251953e+00
1.103271972656250000e+04,-4.416349887847900391e+00
1.104139746093750000e+04,-4.408304214477539062e+00
1.105008203125000000e+04,-4.418314456939697266e+00
1.105877343750000000e+04,-4.432726383209228516e+00
1.106747167968750000e+04,-4.435349941253662109e+00
1.107617675781250000e+04,-4.452538967132568359e+00
1.108488867187500000e+04,-4.440455913543701172e+00
1.109360742187500000e+04,-4.454149723052978516e+00
1.110233398437500000e+04,-4.457576751708984375e+00
1.111106640625000000e+04,-4.465043067932128906e+00
1.111980566406250000e+04,-4.476503372192382812e+00
1.112855175781250000e+04,-4.465665340423583984e+00
1.113730468750000000e+04,-4.474133014678955078e+00
1.114606542968750000e+04,-4.460638046264648438e+00
1.115483203125000000e+04,-4.484228610992431641e+00
1.116360546875000000e+04,-4.481722354888916016e+00
1.117238671875000000e+04,-4.477421283721923828e+00
1.118117382812500000e+04,-4.496713638305664062e+00
1.118996875000000000e+04,-4.492145061492919922e+00
1.119877050781250000e+04,-4.503876686096191406e+00
1.120757910156250000e+04,-4.509454250335693359e+00
1.121639453125000000e+04,-4.522832870483398438e+00
1.122521679687500000e+04,-4.517739772796630859e+00
1.123404589843750000e+04,-4.519538402557373047e+00
1.124288183593750000e+04,-4.510648727416992188e+00
1.125172460937500000e+04,-4.526387691497802734e+00
1.126057519531250000e+04,-4.509517669677734375e+00
1.126943164062500000e+04,-4.552144050598144531e+00
1.127829589843750000e+04,-4.528792381286621094e+00
1.128716699218750000e+04,-4.557059288024902344e+00
1.129604492187500000e+04,-4.529015541076660156e+00
1.130492968750000000e+04,-4.569603443145751953e+00
1.131382128906250000e+04,-4.545897960662841797e+00
1.132272070312500000e+04,-4.560844898223876953e+00
1.133162597656250000e+04,-4.566281318664550781e+00
1.134053906250000000e+04,-4.558016300201416016e+00
1.134945898437500000e+04,-4.572262287139892578e+00
1.135838574218750000e+04,-4.574356555938720703e+00
1.136732031250000000e+04,-4.570173740386962891e+00
1.137626074218750000e+04,-4.578085422515869141e+00
1.138520898437500000e+04,-4.576620101928710938e+00
1.139416406250000000e+04,-4.581678390502929688e+00
1.140312597656250000e+04,-4.610141754150390625e+00
1.141209570312500000e+04,-4.627609729766845703e+00
1.142107128906250000e+04,-4.593758106231689453e+00
1.143005468750000000e+04,-4.605593681335449219e+00
1.143904492187500000e+04,-4.612111568450927734e+00
1.144804296875000000e+04,-4.596048831939697266e+00
1.145704687500000000e+04,-4.635891437530517578e+00
1.146605859375000000e+04,-4.622530937194824219e+00
1.147507714843750000e+04,-4.637137413024902344e+00
1.148410253906250000e+04,-4.659893512725830078e+00
1.149313574218750000e+04,-4.638040542602539062e+00
1.150217578125000000e+04,-4.651962757110595703e+00
1.151122265625000000e+04,-4.655613899230957031e+00
1.152027734375000000e+04,-4.671515941619873047e+00
1.152933789062500000e+04,-4.665180206298828125e+00
1.153840625000000000e+04,-4.659811019897460938e+00
1.154748242187500000e+04,-4.665019989013671875e+00
1.155656542968750000e+04,-4.675595760345458984e+00
1.156565429687500000e+04,-4.677049636840820312e+00
1.157475195312500000e+04,-4.688906192779541016e+00
1.158385546875000000e+04,-4.685250759124755859e+00
1.159296679687500000e+04,-4.701706409454345703e+00
1.160208593750000000e+04,-4.721384525299072266e+00
1.161121093750000000e+04,-4.687917709350585938e+00
1.162034375000000000e+04,-4.730334758758544922e+00
1.162948437500000000e+04,-4.701773166656494141e+00
1.163863085937500000e+04,-4.733377456665039062e+00
1.164778613281250000e+04,-4.715536117553710938e+00
1.165694726562500000e+04,-4.732972145080566406e+00
1.166611621093750000e+04,-4.723946571350097656e+00
1.167529199218750000e+04,-4.720012664794921875e+00
1.168447558593750000e+04,-4.748564243316650391e+00
1.169366601562500000e+04,-4.758799552917480469e+00
1.170286328125000000e+04,-4.738336563110351562e+00
1.171206835937500000e+04,-4.719102382659912109e+00
