k,freq_hz,coherence
394,19238.2812,0.990345538
395,19287.1094,0.994708657
396,19335.9375,0.992616951
397,19384.7656,0.99057579
398,19433.5938,0.99468863
399,19482.4219,0.991635799
400,19531.25,0.99006933
401,19580.0781,0.993614256
402,19628.9062,0.991494298
403,19677.7344,0.989779413
404,19726.5625,0.992999017
405,19775.3906,0.992298067
406,19824.2188,0.990840018
407,19873.0469,0.992257833
408,19921.875,0.994449914
409,19970.7031,0.992584109
410,20019.5312,0.984911501
411,20068.3594,0.990554094
412,20117.1875,0.992509067
413,20166.0156,0.991085172
414,20214.8438,0.988745689
415,20263.6719,0.990986943
416,20312.5,0.988932192
417,20361.3281,0.992395818
418,20410.1562,0.988542199
419,20458.9844,0.9928599
420,20507.8125,0.991341591
421,20556.6406,0.993212163
422,20605.4688,0.990887105
423,20654.2969,0.988018155
424,20703.125,0.993744373
425,20751.9531,0.995147526
426,20800.7812,0.989289284
427,20849.6094,0.992860198
428,20898.4375,0.984965086
429,20947.2656,0.986204863
430,20996.0938,0.992638052
431,21044.9219,0.98918736
432,21093.75,0.990351617
433,21142.5781,0.987320542
434,21191.4062,0.994658649
435,21240.2344,0.988296032
436,21289.0625,0.988299489
437,21337.8906,0.985071599
438,21386.7188,0.992035747
439,21435.5469,0.9881832
440,21484.375,0.989373028
441,21533.2031,0.991391182
442,21582.0312,0.991058528
443,21630.8594,0.991103292
444,21679.6875,0.989941478
445,21728.5156,0.987491846
446,21777.3438,0.98990798
447,21826.1719,0.993650913
448,21875,0.993291259
449,21923.8281,0.988365054
450,21972.6562,0.989868879
451,22021.4844,0.988839269
452,22070.3125,0.991801023
453,22119.1406,0.989457905
454,22167.9688,0.991205037
455,22216.7969,0.993513942
456,22265.625,0.988313735
457,22314.4531,0.990750849
458,22363.2812,0.994569719
459,22412.1094,0.990945935
460,22460.9375,0.991146743
461,22509.7656,0.983106136
462,22558.5938,0.989464819
463,22607.4219,0.98636663
464,22656.25,0.987160206
465,22705.0781,0.991087019
466,22753.9062,0.991600156
467,22802.7344,0.985789776
468,22851.5625,0.991649926
469,22900.3906,0.988977373
470,22949.2188,0.991955519
471,22998.0469,0.99021399
472,23046.875,0.986706972
473,23095.7031,0.98683244
474,23144.5312,0.989554822
475,23193.3594,0.991886139
476,23242.1875,0.987419665
477,23291.0156,0.990597308
478,23339.8438,0.982466996
479,23388.6719,0.989899099
480,23437.5,0.988462806
481,23486.3281,0.992750287
482,23535.1562,0.99378258
483,23583.9844,0.987064421
484,23632.8125,0.983097792
485,23681.6406,0.990619898
486,23730.4688,0.983675301
487,23779.2969,0.984779358
488,23828.125,0.994583845
489,23876.9531,0.984551787
490,23925.7812,0.992693722
491,23974.6094,0.987309098
492,24023.4375,0.991025329
493,24072.2656,0.991240799
